"EQN_NO","LIFEFORM","SPP_CODE","SPP_TEXT","BIO_COMP","GEO_AREA","SER_STAG","LCL_EQUN","TAX_LIFE","PA1_CODE","PA1_TEXT","PA1_MIN","PA1_MAX","PA1_UNIT","PA2_CODE","PA2_TEXT","PA2_MIN","PA2_MAX","PA2_UNIT","PA3_CODE","PA3_TEXT","PA3_MIN","PA3_MAX","PA3_UNIT","DEP_VAR","DPV_MIN","DPV_MAX","DPV_UNIT","CF1","CF2","CF3","CF4","BPK_EQFM","EQN_TYPE","DPV_O","DPV_OMIN","DPV_OMAX","DPV_OUNIT","IP1_TEXT","IP1_MIN","IP1_MAX","IP1_UNIT","IP2_TEXT","IP2_MIN","IP2_MAX","IP2_UNIT","IP3_TEXT","IP3_MIN","IP3_MAX","IP3_UNIT","ORG_EQFM","SMP_SIZE","R_SQUARE","MS_ERROR","SEE","LOG_BIOC","RAW_DATA","SRC_EQN","SRC_DAT","MARK"
498,"T","PSME","Pseudotsuga menziesii (douglas fir)","VQW","R","M","04","T","DBH","Diameter at breast height","15.24","66.04","cm","HT","Height","1219.","3353.","cm",NA,NA,NA,NA,NA,"Wood top volume (min. top dia. 12.7 cm)",NA,NA,"cm^3","7.090323","-3.355885","-0.267778","0.66145","Log(VQW) = 7.090323 -3.355885*log(DBH) -0.267778*log(HT)                                 +0.66145*log(DBH)*log(HT)",21,"Wood top volume (min. top dia. 5 in.)",NA,NA,"ft^3","Diameter at breast height (DBH)","6.","26.","in","Height (HT)","40.","110.","ft",NA,NA,NA,NA,"Log(VQW) = 1.27970 -2.37428*log(DBH) +0.66145*log(DBH)*log(HT)","248",NA,"0.00432","0.06570","?",NA,"Faurot, J. L. 1977. Estimating merchantable volume in four northwest timber species... USDA For. Serv. Res. Pap. INT-196, 55 p. Intermount'n For. & Range Expt. Station, Ogden, Utah 84401","5561",FALSE
499,"T","PSME","Pseudotsuga menziesii (douglas fir)","VQW","R","M","05","T","DBH","Diameter at breast height","17.78","55.88","cm","HT","Height","1219.","3048.","cm",NA,NA,NA,NA,NA,"Wood top volume (min. top dia. 15.24 cm)",NA,NA,"cm^3","7.610789","-3.627788","-0.285429","0.70505","Log(VQW) = 7.610789 -3.627788*log(DBH) -0.285429*log(HT)                                 +0.70505*log(DBH)*log(HT)",21,"Wood top volume (min. top dia. 6 in.)",NA,NA,"ft^3","Diameter at breast height (DBH)","7.","22.","in","Height (HT)","40.","100.","ft",NA,NA,NA,NA,"Log(VQW) =  1.69009 -2.58148*log(DBH) +0.70505*log(DBH)*log(HT)","221",NA,"0.0053","0.07278","?",NA,"Faurot, J. L. 1977. Estimating merchantable volume in four northwest timber species... USDA For. Serv. Res. Pap. INT-196, 55 p. Intermount'n For. & Range Expt. Station, Ogden, Utah 84401","5570",FALSE
500,"T","PSME","Pseudotsuga menziesii (douglas fir)","VQW","R","M","06","T","DBH","Diameter at breast height","20.32","55.88","cm","HT","Height","1524.","3048.","cm",NA,NA,NA,NA,NA,"Wood top volume (min. top dia. 17.78 cm)",NA,NA,"cm^3","7.988647","-3.742199","-0.288574","0.71282","Log(VQW) = 7.988647 -3.742199*log(DBH) -0.288574*log(HT)                                 +0.71282*log(DBH)*log(HT)",21,"Wood top volume (min. top dia. 7 in.)",NA,NA,"ft^3","Diameter at breast height (DBH)","8.","22.","in","Height (HT)","50.","100.","ft",NA,NA,NA,NA,"Log(VQW) =  2.02163 -2.68436*log(DBH) +0.71282*log(DBH)*log(HT)","197",NA,"0.00463","0.06808","?",NA,"Faurot, J. L. 1977. Estimating merchantable volume in four northwest timber species... USDA For. Serv. Res. Pap. INT-196, 55 p. Intermount'n For. & Range Expt. Station, Ogden, Utah 84401","5579",FALSE
501,"T","PSME","Pseudotsuga menziesii (douglas fir)","VQW","R","M","07","T","DBH","Diameter at breast height","22.86","66.04","cm","HT","Height","1524.","3353.","cm",NA,NA,NA,NA,NA,"Wood top volume (min. top dia. 20.32 cm)",NA,NA,"cm^3","8.649638","-4.309867","-0.334114","0.82531","Log(VQW) = 8.649638 -4.309867*log(DBH) -0.334114*log(HT)                                 +0.82531*log(DBH)*log(HT)",21,"Wood top volume (min. top dia. 8 in.)",NA,NA,"ft^3","Diameter at breast height (DBH)","9.","26.","in","Height (HT)","50.","110.","ft",NA,NA,NA,NA,"Log(VQW) = 2.45281 -3.08509*log(DBH) +0.82531*log(DBH)*log(HT)","184",NA,"0.0043","0.06559","?",NA,"Faurot, J. L. 1977. Estimating merchantable volume in four northwest timber species... USDA For. Serv. Res. Pap. INT-196, 55 p. Intermount'n For. & Range Expt. Station, Ogden, Utah 84401","5588",FALSE
502,"T","ABGR","Abies grandis (grand fir)","BCL","R","G","01","T","DBH","Stem diameter at breast height","2.54","101.6","cm",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Live crown biomass",NA,NA,"g","5.928049","1.6076",NA,NA,"ln(BCL) = 5.928049 + 1.6076 * ln(DBH)",2,"Live crown biomass",NA,NA,"lb","Stem diameter at breast height","1.0","40.0","in",NA,NA,NA,NA,NA,NA,NA,NA,"ln(BCL) = 1.3094 + 1.6076 * ln(DBH)","35","0.95","26,100","161.55","Y","Raw data are in the publication listed below.","Brown, J. K. 1978. Weight and Density of Crowns of Rocky Mountain conifers. USDA Forest Service. Res. Pap. INT-197.","5597",FALSE
503,"T","LAOC","Larix occidentalis (western larch)","BCL","R","G","01","T","DBH","Stem diameter at breast height","2.54","88.9","cm",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Live crown biomass",NA,NA,"g","4.989765","1.6786",NA,NA,"ln(BCL) = 4.989765 + 1.6786 * ln(DBH)",2,"Live crown biomass",NA,NA,"lb","Stem diameter at breast height","1.0","35.0","in",NA,NA,NA,NA,NA,NA,NA,NA,"ln(BCL) = 0.4373 + 1.6786 * ln(DBH)","45","0.96","3,684","60.696","Y","Raw data are in the publication listed below.","Brown, J. K. 1978. Weight and Density of Crowns of Rocky Mountain conifers. USDA Forest Service. Res. Pap. INT-197.","5604",FALSE
504,"T","PIEN","Picea engelmannii (engelmann spruce)","BCL","R","G","01","T","DBH","Stem diameter at breast height","2.54","73.66","cm",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Live crown biomass",NA,NA,"g","5.563968","1.7096",NA,NA,"ln(BCL) = 5.563968 + 1.7096 * ln(DBH)",2,"Live crown biomass",NA,NA,"lb","Stem diameter at breast height","1.0","29.0","in",NA,NA,NA,NA,NA,NA,NA,NA,"ln(BCL) = 1.0404 + 1.7096 * ln(DBH)","29","0.96","11,470","107.098","Y","Raw data are in the publication listed below.","Brown, J. K. 1978. Weight and Density of Crowns of Rocky Mountain conifers. USDA Forest Service. Res. Pap. INT-197.","5611",FALSE
505,"T","ABLA2","Abies lasiocarpa (subalpine fir)","BCL","R","G","01","T","DBH","Stem diameter at breast height","2.54","33.02","cm","CR","Crown ratio",NA,NA,"%",NA,NA,NA,NA,NA,"Live crown biomass",NA,NA,"g","483.52907","1.309115",NA,NA,"BCL = 483.5295 + 1.30911 * DBH^2 * CR                                    where CR = live crown length /tree height *100",9,"Live crown biomass",NA,NA,"lb","Stem diameter at breast height","1.0","13.0","in","Crown ratio (CR)",NA,NA,NA,NA,NA,NA,NA,"BCL  = 1.066 + 0.1862 * DBH^2 * CR                                   where CR = live crown length (ft)/tree height (ft)*10","16","0.95","276","16.613",NA,"Raw data are in the publication listed below.","Brown, J. K. 1978. Weight and Density of Crowns of Rocky Mountain conifers. USDA Forest Service. Res. Pap. INT-197.","5618",FALSE
506,"T","ABLA2","Abies lasiocarpa (subalpine fir)","BCL","R","G","02","T","DBH","Stem diameter at breast height","2.54","33.02","cm",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Live crown biomass",NA,NA,"g","3331.636","88.234879",NA,NA,"BCL = 3331.636 + 88.234879 * DBH^2",4,"Live crown biomass",NA,NA,"lb","Stem diameter at breast height","1.0","13.0","in",NA,NA,NA,NA,NA,NA,NA,NA,"BCL  = 7.345 + 1.255 * DBH^2","16","0.84","947","30.773",NA,"Raw data are in the publication listed below.","Brown, J. K. 1978. Weight and Density of Crowns of Rocky Mountain conifers. USDA Forest Service. Res. Pap. INT-197.","5625",FALSE
507,"T","PICO","Pinus contorta (lodgepole pine)","BCL","R","G","01","T","DBH","Stem diameter at breast height","2.54","40.64","cm","CR","Crown ratio",NA,NA,"%",NA,NA,NA,NA,NA,"Live crown biomass",NA,NA,"g","-907.1847","0.619473","0.866881",NA,"BCL = -907.1847 +0.619473*DBH^3 +0.866881*DBH^2*CR                        where CR = live crown length /tree height *100",24,"Live crown biomass",NA,NA,"lb","Stem diameter at breast height","1.0","16.0","in","Crown ratio (CR)",NA,NA,NA,NA,NA,NA,NA,"BCL = -2.00 +0.02238*DBH^3 +0.1233*DBH^2 * CR                         where  CR = live crown length (ft)/tree height (ft)*10","45","0.88","600","24.495",NA,"Raw data are in the publication listed below.","Brown, J. K. 1978. Weight and Density of Crowns of Rocky Mountain conifers. USDA Forest Service. Res. Pap. INT-197.","5632",FALSE
508,"T","PICO","Pinus contorta (lodgepole pine)","BCL","R","G","02","T","DBH","Stem diameter at breast height","2.54","40.64","cm",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Live crown biomass",NA,NA,"g","4.485262","1.882",NA,NA,"ln(BCL) = 4.485262 + 1.882 * ln(DBH)",2,"Live crown biomass",NA,NA,"lb","Stem diameter at breast height","1.0","16.0","in",NA,NA,NA,NA,NA,NA,NA,NA,"ln(BCL) = 0.1224 + 1.8820 * ln(DBH)","45","0.88","1,065","32.634","Y","Raw data are in the publication listed below.","Brown, J. K. 1978. Weight and Density of Crowns of Rocky Mountain conifers. USDA Forest Service. Res. Pap. INT-197.","5639",FALSE
509,"T","PIMO","Pinus monticola (western white pine)","BCL","R","G","01","T","DBH","Stem diameter at breast height","2.54","109.2","cm","CR","Crown ratio",NA,NA,"%",NA,NA,NA,NA,NA,"Live crown biomass",NA,NA,"g","0.00","0.665804",NA,NA,"BCL = 0.665804 * DBH^2 * CR                                               where CR = live crown length/tree height*100",9,"Live crown biomass",NA,NA,"lb","Stem diameter at breast height","1.0","43.0","in","Crown ratio (CR)",NA,NA,NA,NA,NA,NA,NA,"BCL  = 0.09470 * DBH^2 * CR                                            where CR = live crown length (ft)/tree height (ft) *10","44","0.97","956","30.919",NA,"Raw data are in the publication listed below.","Brown, J. K. 1978. Weight and Density of Crowns of Rocky Mountain conifers. USDA Forest Service. Res. Pap. INT-197.","5646",FALSE
510,"T","PIMO","Pinus monticola (western white pine)","BCL","R","G","02","T","DBH","Stem diameter at breast height","2.54","109.2","cm","HT","Tree height",NA,NA,"cm",NA,NA,NA,NA,NA,"Live crown biomass",NA,NA,"g","1655.6122","-1.254999","0.028441",NA,"BCL = 1655.6122 -1.254999*DBH^3 +0.028441*DBH^2*HT",24,"Live crown biomass",NA,NA,"lb","Stem diameter at breast height","1.0","43.0","in","Tree height (HT)",NA,NA,"ft",NA,NA,NA,NA,"BCL  = 3.65 -0.04534*DBH^3 +0.01233*DBH^2*HT","44","0.95","1,567","39.585",NA,"Raw data are in the publication listed below.","Brown, J. K. 1978. Weight and Density of Crowns of Rocky Mountain conifers. USDA Forest Service. Res. Pap. INT-197.","5653",FALSE
511,"T","PIMO","Pinus monticola (western white pine)","BCL","R","G","03","T","DBH","Stem diameter at breast height","2.54","109.2","cm",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Live crown biomass",NA,NA,"g","5.400221","1.5497",NA,NA,"ln(BCL) = 5.400221 + 1.5497 * ln(DBH)",2,"Live crown biomass",NA,NA,"lb","Stem diameter at breast height","1.0","43.0","in",NA,NA,NA,NA,NA,NA,NA,NA,"ln(BCL) = 0.7276 + 1.5497 * ln(DBH)","44","0.95","3,279","57.263","Y","Raw data are in the publication listed below.","Brown, J. K. 1978. Weight and Density of Crowns of Rocky Mountain conifers. USDA Forest Service. Res. Pap. INT-197.","5660",FALSE
512,"T","PIAL","Pinus albicaulis (whitebark pine)","BCL","R","G","01","T","DBH","Stem diameter at breast height","2.54","20.32","cm","CR","Crown ratio",NA,NA,"%",NA,NA,NA,NA,NA,"Live crown biomass",NA,NA,"g","294.83504","1.676285","0.385070",NA,"BCL = 294.83504 +1.676285*DBH^3 +0.385070*DBH^2*CR                      where CR = live crown length/tree height*100",24,"Live crown biomass",NA,NA,"lb","Stem diameter at breast height","1.0","8.0","in","Crown ratio (CR)",NA,NA,NA,NA,NA,NA,NA,"BCL = 0.65 +0.06056*DBH^3 +0.05477*DBH^2*CR                           where CR = live crown length (ft)/tree height (ft)*10","10","0.99","0.889","0.943",NA,"Raw data are in the publication listed below.","Brown, J. K. 1978. Weight and Density of Crowns of Rocky Mountain conifers. USDA Forest Service. Res. Pap. INT-197.","5667",FALSE
513,"T","PIAL","Pinus albicaulis (whitebark pine)","BCL","R","G","02","T","DBH","Stem diameter at breast height","2.54","20.32","cm",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Live crown biomass",NA,NA,"g","-453.5924","58.853719",NA,NA,"BCL = -453.5924 + 58.853719 * DBH^2",4,"Live crown biomass",NA,NA,"lb","Stem diameter at breast height","1.0","8.0","in",NA,NA,NA,NA,NA,NA,NA,NA,"BCL  = -1.00 + 0.8371 * DBH^2","10","0.98","3.89","1.972",NA,"Raw data are in the publication listed below.","Brown, J. K. 1978. Weight and Density of Crowns of Rocky Mountain conifers. USDA Forest Service. Res. Pap. INT-197.","5674",FALSE
514,"T","THPL","Thuja plicata (western redcedar)","BCL","R","G","01","T","DBH","Stem diameter at breast height","2.54","93.98","cm","CR","Crown ratio",NA,NA,"%",NA,NA,NA,NA,NA,"Live crown biomass",NA,NA,"g","-2.278787","1.7273",NA,NA,"ln(BCL) = -2.278787 + 1.7273 * ln(DBH*CR)                                where CR = live crown length/tree height*100",25,"Live crown biomass",NA,NA,"lb","Stem diameter at breast height","1.0","37.0","in","Crown ratio (CR)",NA,NA,NA,NA,NA,NA,NA,"ln(BCL) = -2.8086 +1.7273* ln(DBH*CR)                                      where CR = live crown length (ft)/tree height (ft)*10","34","0.97","7,965","89.247","N","Raw data are in the publication listed below.","Brown, J. K. 1978. Weight and Density of Crowns of Rocky Mountain conifers. USDA Forest Service. Res. Pap. INT-197.","5681",FALSE
515,"T","THPL","Thuja plicata (western redcedar)","BCL","R","G","02","T","DBH","Stem diameter at breast height","2.54","93.98","cm",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Live crown biomass",NA,NA,"g","5.470972","1.6389",NA,NA,"ln(BCL) = 5.470972 + 1.6389 * ln(DBH)",2,"Live crown biomass",NA,NA,"lb","Stem diameter at breast height","1.0","37.0","in",NA,NA,NA,NA,NA,NA,NA,NA,"ln(BCL) = 0.8815 + 1.6389 * ln(DBH)","34","0.96","10,070","100.349","N","Raw data are in the publication listed below.","Brown, J. K. 1978. Weight and Density of Crowns of Rocky Mountain conifers. USDA Forest Service. Res. Pap. INT-197.","5688",FALSE
516,"T","PIPO","Pinus ponderosa (ponderosa pine)","BCL","R","G","01","T","DBH","Stem diameter at breast height","2.54","86.36","cm","CR","Crown ratio",NA,NA,"%",NA,NA,NA,NA,NA,"Live crown biomass",NA,NA,"g","-2.581401","2.2812","1.5098",NA,"ln(BCL) = -2.581401 +2.2812 * ln(DBH) +1.5098 * ln(CR)                     where CR = live crown length/tree height*100",17,"Live crown biomass",NA,NA,"lb","Stem diameter at breast height","1.0","34.0","in","Crown ratio (CR)",NA,NA,NA,NA,NA,NA,NA,"ln(BCL) = -3.0957 +2.2812* ln(DBH) +1.5098 * ln(CR)                      where CR = live crown length (ft)/tree height (ft)*10","40","0.97","37,560","193.804","Y","Raw data are in the publication listed below.","Brown, J. K. 1978. Weight and Density of Crowns of Rocky Mountain conifers. USDA Forest Service. Res. Pap. INT-197.","5695",FALSE
517,"T","PIPO","Pinus ponderosa (ponderosa pine)","BCL","R","G","02","T","DBH","Stem diameter at breast height","2.54","86.36","cm",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Live crown biomass",NA,NA,"g","4.451886","2.0740",NA,NA,"ln(BCL) = 4.451886 + 2.0740 * ln(DBH)",2,"Live crown biomass",NA,NA,"lb","Stem diameter at breast height","1.0","34.0","in",NA,NA,NA,NA,NA,NA,NA,NA,"ln(BCL) = 0.2680 + 2.0740 * ln(DBH)","40","0.95","82,570","287.350","Y","Raw data are in the publication listed below.","Brown, J. K. 1978. Weight and Density of Crowns of Rocky Mountain conifers. USDA Forest Service. Res. Pap. INT-197.","5702",FALSE
518,"T","PSME","Pseudotsuga menziesii (douglas fir)","BCL","R","G","01","T","DBH","Stem diameter at breast height","2.54","43.18","cm",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Live crown biomass",NA,NA,"g","5.779405","1.5819",NA,NA,"ln(BCL) = 5.779405 + 1.5819 * ln(DBH)",2,"Live crown biomass",NA,NA,"lb","Stem diameter at breast height","1.0","17.0","in",NA,NA,NA,NA,NA,NA,NA,NA,"ln(BCL) = 1.1368 + 1.5819 * ln(DBH)","41","0.93","21,620","147.037","Y","Raw data are in the publication listed below.","Brown, J. K. 1978. Weight and Density of Crowns of Rocky Mountain conifers. USDA Forest Service. Res. Pap. INT-197.","5709",FALSE
519,"T","PSME","Pseudotsuga menziesii (douglas fir)","BCL","R","G","02","T","DBH","Stem diameter at breast height","2.54","86.36","cm",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Live crown biomass",NA,NA,"g","-9407.506","71.972945",NA,NA,"BCL = -9407.506 + 71.972945 * DBH^2",4,"Live crown biomass",NA,NA,"lb","Stem diameter at breast height","17.0","34.0","in",NA,NA,NA,NA,NA,NA,NA,NA,"BCL = -20.74 + 1.0237 * DBH^2","41","0.85","13,460","116.017",NA,"Raw data are in the publication listed below.","Brown, J. K. 1978. Weight and Density of Crowns of Rocky Mountain conifers. USDA Forest Service. Res. Pap. INT-197.","5716",FALSE
520,"T","TSHE","Tsuga heterophylla (western hemlock)","BCL","R","G","01","T","DBH","Stem diameter at breast height","2.54","81.28","cm","LEN","Crown length",NA,NA,"cm",NA,NA,NA,NA,NA,"Live crown biomass",NA,NA,"g","-2041.166","26.21736","-0.012744","1.663908","BCL = -2041.166 +26.21736*DBH^2 -0.012744*DBH^2*LEN                                   +1.663908*DBH*LEN",26,"Live crown biomass",NA,NA,"lb","Stem diameter at breast height","1.0","32.0","in","Crown length (LEN)",NA,NA,"ft",NA,NA,NA,NA,"BCL = -4.50 +0.3729*DBH^2 -0.005525*DBH^2*LEN +0.2840*DBH*LEN","27","0.98","809","28.443",NA,"Raw data are in the publication listed below.","Brown, J. K. 1978. Weight and Density of Crowns of Rocky Mountain conifers. USDA Forest Service. Res. Pap. INT-197.","5723",FALSE
521,"T","TSHE","Tsuga heterophylla (western hemlock)","BCL","R","G","02","T","DBH","Stem diameter at breast height","2.54","81.28","cm","HT","Tree height",NA,NA,"cm",NA,NA,NA,NA,NA,"Live crown biomass",NA,NA,"g","1632.9325","0.479967","-108.6238","2.273226","BCL = 1632.9325 +0.479967*DBH^3 -108.6238*DBH^2 +2.273226*DBH*HT",27,"Live crown biomass",NA,NA,"lb","Stem diameter at breast height","1.0","32.0","in","Tree height (HT)",NA,NA,"ft",NA,NA,NA,NA,"BCL = 3.60 +0.01734*DBH^3 -1.5450*DBH^2 +0.3880*DBH*HT","27","0.98","1,076","32.802",NA,"Raw data are in the publication listed below.","Brown, J. K. 1978. Weight and Density of Crowns of Rocky Mountain conifers. USDA Forest Service. Res. Pap. INT-197.","5730",FALSE
522,"T","TSHE","Tsuga heterophylla (western hemlock)","BCL","R","G","03","T","DBH","Stem diameter at breast height","2.54","81.28","cm",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Live crown biomass",NA,NA,"g","5.207522","1.7502",NA,NA,"ln(BCL) = 5.207522 + 1.7502 * ln(DBH)",2,"Live crown biomass",NA,NA,"lb","Stem diameter at breast height","1.0","32.0","in",NA,NA,NA,NA,NA,NA,NA,NA,"ln(BCL) = 0.7218 + 1.7502 * ln(DBH)","27","0.98","4,605","67.860","N","Raw data are in the publication listed below.","Brown, J. K. 1978. Weight and Density of Crowns of Rocky Mountain conifers. USDA Forest Service. Res. Pap. INT-197.","5737",FALSE
523,"T","ABGR","Abies grandis (grand fir)","BCD","R","G","01","T","DBH","Stem diameter at breast height","2.54","50.8","cm","HT","Tree height",NA,NA,"cm",NA,NA,NA,NA,NA,"Dead crown biomass",NA,NA,"g","616.88562","1.209881","-0.008221",NA,"BCD = 616.88562 +1.209881*DBH^3 -0.008221*DBH^2*HT",24,"Dead crown biomass",NA,NA,"lb","Stem diameter at breast height","1.0","20.0","in","Tree height (HT)",NA,NA,"ft",NA,NA,NA,NA,"BCD = 1.36 +0.04371*DBH^3 -0.003564*DBH^2*HT","22","0.93","204","14.283",NA,"Raw data are in the publication listed below.","Brown, J. K. 1978. Weight and Density of Crowns of Rocky Mountain conifers. USDA Forest Service. Res. Pap. INT-197.","5744",FALSE
524,"T","ABGR","Abies grandis (grand fir)","BCD","R","G","02","T","DBH","Stem diameter at breast height","2.54","45.72","cm",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Dead crown biomass",NA,NA,"g","-2.520255","3.5638",NA,NA,"ln(BCD) = -2.520255 + 3.5638 * ln(DBH)",2,"Dead crown biomass",NA,NA,"lb","Stem diameter at breast height","1.0","18.0","in",NA,NA,NA,NA,NA,NA,NA,NA,"ln(BCD) = -5.3154 + 3.5638 * ln(DBH)","22","0.93","487","22.068","N","Raw data are in the publication listed below.","Brown, J. K. 1978. Weight and Density of Crowns of Rocky Mountain conifers. USDA Forest Service. Res. Pap. INT-197.","5751",FALSE
525,"T","ABGR","Abies grandis (grand fir)","BCD","R","G","03","T","BIO","Live crown biomass",NA,NA,"g",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Dead crown biomass",NA,NA,"g","0.00","0.379996",NA,NA,"BCD = 0.379996 * BIO (for DBH > 45.7 cm)",1,"Dead crown biomass",NA,NA,"lb","Live crown biomass (BCL)",NA,NA,"lb",NA,NA,NA,NA,NA,NA,NA,NA,"BCD  = 0.38 * BCL  (for DBH > 18 inches)",NA,NA,NA,NA,NA,"Raw data are in the publication listed below.","Brown, J. K. 1978. Weight and Density of Crowns of Rocky Mountain conifers. USDA Forest Service. Res. Pap. INT-197.","5758",FALSE
526,"T","PIEN","Picea engelmannii (engelmann spruce)","BCD","R","G","01","T","DBH","Stem diameter at breast height","2.54","58.42","cm",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Dead crown biomass",NA,NA,"g","-3.940632","3.6172",NA,NA,"ln(BCD) = -3.940632 + 3.6172 * ln(DBH)",2,"Dead crown biomass",NA,NA,"lb","Stem diameter at breast height","1.0","23.0","in",NA,NA,NA,NA,NA,NA,NA,NA,"ln(BCD) = -6.6860 + 3.6172 * ln(DBH)","14","0.87","992","31.496","N","Raw data are in the publication listed below.","Brown, J. K. 1978. Weight and Density of Crowns of Rocky Mountain conifers. USDA Forest Service. Res. Pap. INT-197.","5765",FALSE
527,"T","ABLA2","Abies lasiocarpa (subalpine fir)","BCD","R","G","01","T","DBH","Stem diameter at breast height","2.54","33.02","cm","HT","Tree height",NA,NA,"cm",NA,NA,NA,NA,NA,"Dead crown biomass",NA,NA,"g","-13.38164","2.0757",NA,NA,"ln(BCD) = -13.38164 + 2.0757 * ln(DBH*HT)",25,"Dead crown biomass",NA,NA,"lb","Stem diameter at breast height","1.0","13.0","in","Tree height",NA,NA,"ft",NA,NA,NA,NA,"ln(BCD) = -10.4711 + 2.0757 * ln(DBH*HT)","16","0.93","116","10.770","N","Raw data are in the publication listed below.","Brown, J. K. 1978. Weight and Density of Crowns of Rocky Mountain conifers. USDA Forest Service. Res. Pap. INT-197.","5772",FALSE
528,"T","ABLA2","Abies lasiocarpa (subalpine fir)","BCD","R","G","02","T","DBH","Stem diameter at breast height","2.54","33.02","cm",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Dead crown biomass",NA,NA,"g","-4.188589","4.0365",NA,NA,"ln(BCD) = -4.188589 +4.0365 * ln(DBH)",2,"Dead crown biomass",NA,NA,"lb","Stem diameter at breast height","1.0","13.0","in",NA,NA,NA,NA,NA,NA,NA,NA,"ln(BCD) = -6.5431 + 4.0365 * ln(DBH)","16","0.91","67","8.185","N","Raw data are in the publication listed below.","Brown, J. K. 1978. Weight and Density of Crowns of Rocky Mountain conifers. USDA Forest Service. Res. Pap. INT-197.","5779",FALSE
529,"T","ABLA2","Abies lasiocarpa (subalpine fir)","BCD","R","G","03","T","BIO","Live crown biomass",NA,NA,"g",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Dead crown biomass",NA,NA,"g","0.00","0.309997",NA,NA,"BCD = 0.309997 * BIO (for DBH > 40.6 cm)",1,"Dead crown biomass",NA,NA,"lb","Live crown biomass (BCL)",NA,NA,"lb",NA,NA,NA,NA,NA,NA,NA,NA,"BCD  = 0.31 * BCL  (for DBH > 16 inches)",NA,NA,NA,NA,NA,"Raw data are in the publication listed below.","Brown, J. K. 1978. Weight and Density of Crowns of Rocky Mountain conifers. USDA Forest Service. Res. Pap. INT-197.","5786",FALSE
530,"T","PICO","Pinus contorta (lodgepole pine)","BCD","R","G","01","T","DBH","Stem diameter at breast height","2.54","25.4","cm","BIO","Live crown biomass",NA,NA,"g",NA,NA,NA,NA,NA,"Dead crown biomass",NA,NA,"g","0.00","0.010236","-0.025",NA,"BCD = 0.0 + 0.010236*DBH*BIO -0.025*BIO",30,"Dead crown biomass",NA,NA,"lb","Stem diameter at breast height","1.0","10.0","in","Live crown biomass (BCL)",NA,NA,"lb",NA,NA,NA,NA,"BCD = 0.026*DBH*BCL -0.025*BCL",NA,NA,NA,NA,NA,"Raw data are in the publication listed below.","Brown, J. K. 1978. Weight and Density of Crowns of Rocky Mountain conifers. USDA Forest Service. Res. Pap. INT-197.","5793",FALSE
531,"T","PICO","Pinus contorta (lodgepole pine)","BCD","R","G","02","T","BIO","Live crown biomass",NA,NA,"g",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Dead crown biomass",NA,NA,"g","0.00","0.234998",NA,NA,"BCD = 0.234998 * BIO  (for DBH > 25.4 cm)",1,"Dead crown biomass",NA,NA,"lb","Live crown biomass (BCL)",NA,NA,"lb",NA,NA,NA,NA,NA,NA,NA,NA,"BCD = 0.235 * BCL  (for DBH > 10 inches)",NA,NA,NA,NA,NA,"Raw data are in the publication listed below.","Brown, J. K. 1978. Weight and Density of Crowns of Rocky Mountain conifers. USDA Forest Service. Res. Pap. INT-197.","5800",FALSE
532,"T","PIMO","Pinus monticola (western white pine)","BCD","R","G","01","T","DBH","Stem diameter at breast height","2.54","63.5","cm",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Dead crown biomass",NA,NA,"g","-0.710517","2.6076",NA,NA,"ln(BCD) = -0.710517 + 2.6076 * ln(DBH)",2,"Dead crown biomass",NA,NA,"lb","Stem diameter at breast height","1.0","25.0","in",NA,NA,NA,NA,NA,NA,NA,NA,"ln(BCD) = -4.3970 + 2.6076 * ln(DBH)","18","0.80","184","13.565","N","Raw data are in the publication listed below.","Brown, J. K. 1978. Weight and Density of Crowns of Rocky Mountain conifers. USDA Forest Service. Res. Pap. INT-197.","5807",FALSE
